,Hub No.,Car Index,Time When Reach Hub,Time on Road
0,1,4,Day 0 - 4:24:34,Day 0 - 3:43:13
1,1,2,Day 0 - 4:22:34,Day 0 - 0:43:20
2,10,0,Day 0 - 4:52:1,Day 0 - 0:17:22
3,14,0,Day 0 - 5:13:16,Day 0 - 0:33:37
4,12,0,Day 0 - 5:24:54,Day 0 - 5:20:51
5,1,1,Day 0 - 6:26:7,Day 0 - 0:49:10
6,16,0,Day 0 - 7:26:8,Day 0 - 0:17:55
7,17,0,Day 0 - 8:4:15,Day 0 - 5:18:10
8,1,0,Day 0 - 8:54:24,Day 0 - 1:18:32
9,3,3,Day 0 - 7:55:16,Day 0 - 7:6:8
10,7,1,Day 0 - 8:26:5,Day 0 - 5:35:0
11,6,0,Day 0 - 8:49:23,Day 0 - 0:35:50
12,1,3,Day 0 - 8:55:57,Day 0 - 0:41:19
13,3,0,Day 0 - 8:43:21,Day 0 - 8:0:54
14,3,4,Day 0 - 9:16:31,Day 0 - 8:18:45
15,7,4,Day 0 - 9:58:10,Day 0 - 6:41:16
16,7,2,Day 0 - 10:16:5,Day 0 - 0:45:4
17,18,1,Day 0 - 10:11:1,Day 0 - 2:14:59
18,2,2,Day 0 - 10:25:25,Day 0 - 6:44:55
19,17,3,Day 0 - 10:42:43,Day 0 - 4:33:6
20,10,3,Day 0 - 10:26:51,Day 0 - 3:9:10
21,12,4,Day 0 - 10:30:23,Day 0 - 8:22:15
22,12,3,Day 0 - 11:3:28,Day 0 - 0:49:35
23,18,0,Day 0 - 10:49:7,Day 0 - 3:42:32
24,17,1,Day 0 - 11:26:12,Day 0 - 6:23:27
25,2,0,Day 0 - 10:52:27,Day 0 - 5:53:50
26,4,2,Day 0 - 11:29:1,Day 0 - 7:39:30
27,9,0,Day 0 - 11:22:1,Day 0 - 8:8:57
28,17,4,Day 0 - 11:39:55,Day 0 - 4:31:37
29,7,0,Day 0 - 11:47:26,Day 0 - 0:25:5
30,2,4,Day 0 - 12:3:23,Day 0 - 6:59:10
31,19,1,Day 0 - 12:38:37,Day 0 - 10:0:24
32,9,2,Day 0 - 12:45:16,Day 0 - 9:25:6
33,18,2,Day 0 - 12:37:21,Day 0 - 4:22:43
34,19,4,Day 0 - 13:9:39,Day 0 - 7:22:32
35,13,0,Day 0 - 13:0:34,Day 0 - 11:38:2
36,10,1,Day 0 - 13:21:24,Day 0 - 10:43:0
37,15,2,Day 0 - 13:22:16,Day 0 - 1:36:3
38,12,1,Day 0 - 13:36:38,Day 0 - 13:20:14
39,12,2,Day 0 - 13:45:44,Day 0 - 13:28:30
40,0,2,Day 0 - 13:44:13,Day 0 - 4:34:47
41,8,0,Day 0 - 13:43:22,Day 0 - 3:15:34
42,13,4,Day 0 - 13:49:3,Day 0 - 6:27:58
43,18,3,Day 0 - 14:12:33,Day 0 - 6:43:20
44,15,1,Day 0 - 13:56:50,Day 0 - 4:5:23
45,13,2,Day 0 - 13:54:37,Day 0 - 0:15:1
46,9,4,Day 0 - 14:18:6,Day 0 - 7:17:41
47,0,1,Day 0 - 14:7:31,Day 0 - 4:48:19
48,7,3,Day 0 - 14:36:55,Day 0 - 13:6:14
49,4,1,Day 0 - 14:23:0,Day 0 - 6:13:51
50,4,0,Day 0 - 14:27:1,Day 0 - 7:6:15
51,14,2,Day 0 - 14:41:20,Day 0 - 9:53:8
52,14,3,Day 0 - 14:57:39,Day 0 - 11:43:33
53,10,2,Day 0 - 14:51:59,Day 0 - 8:16:1
54,18,4,Day 0 - 15:13:14,Day 0 - 6:48:43
55,3,2,Day 0 - 14:50:46,Day 0 - 14:2:42
56,15,4,Day 0 - 15:4:17,Day 0 - 3:17:56
57,6,4,Day 0 - 16:19:43,Day 0 - 5:51:19
58,15,3,Day 0 - 16:2:59,Day 0 - 0:17:54
