,Order Node,Hub No.,Time of Order,Waiting Time,Time of Delivery,Time To Reach,Previous Location,Car Index,Battery Left in Car
0,42848925,7,Day 0 - 0:1:5,Day 0 - 1:6:28,Day 0 - 0:5:51,Day 0 - 0:4:46,42861660,0,5
1,42475474,12,Day 0 - 0:4:3,Day 0 - 0:25:42,Day 0 - 0:11:28,Day 0 - 0:7:25,42477756,0,5
2,42438295,8,Day 0 - 0:5:5,Day 0 - 0:34:56,Day 0 - 0:12:29,Day 0 - 0:7:24,42429552,0,5
3,42480153,2,Day 0 - 0:6:54,Day 0 - 0:29:23,Day 0 - 0:11:51,Day 0 - 0:4:57,42465250,0,5
4,2812430114,17,Day 0 - 0:6:59,Day 0 - 0:53:9,Day 0 - 0:17:34,Day 0 - 0:10:35,42898015,0,5
5,2024871170,16,Day 0 - 0:8:5,Day 0 - 0:16:16,Day 0 - 0:9:39,Day 0 - 0:1:34,42743701,0,5
6,42496398,3,Day 0 - 0:15:47,Day 0 - 1:5:47,Day 0 - 0:23:11,Day 0 - 0:7:24,42819599,0,5
7,42515014,12,Day 0 - 0:16:24,Day 0 - 0:31:58,Day 0 - 0:22:16,Day 0 - 0:5:52,42477756,1,5
8,42836818,19,Day 0 - 0:16:46,Day 0 - 0:23:0,Day 0 - 0:28:26,Day 0 - 0:11:40,42806439,0,5
9,42470011,12,Day 0 - 0:17:14,Day 0 - 1:59:20,Day 0 - 0:22:33,Day 0 - 0:5:19,42477756,2,5
10,42730080,13,Day 0 - 0:18:6,Day 0 - 1:1:51,Day 0 - 0:21:8,Day 0 - 0:3:2,42756259,0,5
11,103232692,14,Day 0 - 0:22:29,Day 0 - 1:31:15,Day 0 - 0:34:9,Day 0 - 0:11:40,298771431,0,5
12,42852599,5,Day 0 - 0:23:58,Day 0 - 1:39:23,Day 0 - 0:43:8,Day 0 - 0:19:10,588175740,0,5
13,42882771,17,Day 0 - 0:27:48,Day 0 - 0:40:30,Day 0 - 0:32:58,Day 0 - 0:5:10,42898015,0,4
14,42737568,15,Day 0 - 0:29:7,Day 0 - 1:12:35,Day 0 - 0:32:33,Day 0 - 0:3:26,42769868,0,5
15,1260335181,12,Day 0 - 0:30:22,Day 0 - 0:54:38,Day 0 - 0:34:52,Day 0 - 0:4:30,42477756,3,5
16,42468804,6,Day 0 - 0:31:31,Day 0 - 0:16:19,Day 0 - 0:45:41,Day 0 - 0:14:10,42460288,0,5
17,42465135,1,Day 0 - 0:31:35,Day 0 - 0:31:47,Day 0 - 0:40:45,Day 0 - 0:9:10,42492633,0,5
18,490156781,3,Day 0 - 0:32:33,Day 0 - 1:6:0,Day 0 - 0:37:28,Day 0 - 0:4:55,42819599,1,5
19,42491003,1,Day 0 - 0:33:39,Day 0 - 1:9:23,Day 0 - 0:54:29,Day 0 - 0:20:50,42492633,1,5
